"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.93055357234,0.0487162103880519,0.835872,0.999056
"2","pi[2]","Incremental Fraud",0.0540973863784575,0.0466985490774969,3.00271e-07,0.145906
"3","pi[3]","Extreme Fraud",0.0153490417328623,0.0151147453907734,1.22147e-07,0.0452577
"4","beta.tau","(Intercept)",1.530532511,0.269094905942115,1.01204,2.06981
"5","beta.nu","(Intercept)",-0.22471692516,0.0261273417050687,-0.276363,-0.17445
"6","beta.iota.m[1]","(Intercept)",0.033959332425696,1.36700533212685,-2.3494,2.81269
"7","beta.iota.m[2]","ind",0.2275866622622,1.04596064476418,-1.65382,2.29568
"8","beta.iota.s[1]","(Intercept)",-0.426924552027153,0.785798183063385,-1.5727,1.33659
"9","beta.iota.s[2]","ind",-0.679242727206544,0.875447357038531,-2.58592,0.697623
"10","beta.chi.m[1]","(Intercept)",-0.191352551084032,0.777592305475665,-1.72957,1.27503
"11","beta.chi.m[2]","ind",-0.291835471285357,0.902627218687111,-2.01732,1.67635
"12","beta.chi.s[1]","(Intercept)",0.390888601368635,0.938051249967901,-1.5824,1.99264
"13","beta.chi.s[2]","ind",0.173252702526131,1.00782946857193,-1.80234,2.09332
