"","Parameter","Covariate","Mean","SD","HPD.lower","HPD.upper"
"1","pi[1]","No Fraud",0.75376328454,0.108548853410873,0.495336,0.934382
"2","pi[2]","Incremental Fraud",0.2297504550303,0.107779957869088,0.0557052,0.494437
"3","pi[3]","Extreme Fraud",0.0164862605132194,0.0164960186462893,3.90599e-07,0.0491279
"4","beta.tau","(Intercept)",2.05966222751,0.305930914864003,1.46954,2.67013
"5","beta.nu","(Intercept)",0.0856537885568004,0.0902421733958799,-0.132147,0.256372
"6","beta.iota.m[1]","(Intercept)",1.03442249334867,1.15033389245803,-2.05145,2.59656
"7","beta.iota.m[2]","ind",0.97821742550649,1.33903459778645,-2.53282,2.81708
"8","beta.iota.s[1]","(Intercept)",-0.195653575720404,0.787177979715515,-1.91294,0.860268
"9","beta.iota.s[2]","ind",-0.14768260512191,0.864917463862437,-1.50952,1.79939
"10","beta.chi.m[1]","(Intercept)",-0.210757419656977,0.782808481942193,-1.5566,1.68335
"11","beta.chi.m[2]","ind",-0.35379994995851,0.851999142401679,-2.02702,1.35373
"12","beta.chi.s[1]","(Intercept)",-0.30091088482923,0.961187166858553,-2.1792,1.40859
"13","beta.chi.s[2]","ind",0.016687057779062,0.991617325653177,-1.6769,2.22551
